t_ms,soma_v_mV
2.000000000000001332e+00,-6.783569187592632943e+01
2.020000000000000906e+00,-6.783547806533914581e+01
2.040000000000000480e+00,-6.783526929603050348e+01
2.060000000000000053e+00,-6.783506544205719990e+01
2.079999999999999627e+00,-6.783486638166880311e+01
2.099999999999999201e+00,-6.783467199713200557e+01
2.119999999999998774e+00,-6.783448217456360396e+01
2.139999999999998348e+00,-6.783429680377179238e+01
2.159999999999997922e+00,-6.783411577810501569e+01
2.179999999999997495e+00,-6.783393899430812723e+01
2.199999999999997069e+00,-6.783376635238558094e+01
2.219999999999996643e+00,-6.783359775547135939e+01
2.239999999999996216e+00,-6.783343310970515461e+01
2.259999999999995790e+00,-6.783327232411443219e+01
2.279999999999995364e+00,-6.783311531050212295e+01
2.299999999999994937e+00,-6.783296198333944460e+01
2.319999999999994511e+00,-6.783281225966364048e+01
2.339999999999994085e+00,-6.783266605898020885e+01
2.359999999999993658e+00,-6.783252330316976497e+01
2.379999999999993232e+00,-6.783238391639910958e+01
2.399999999999992806e+00,-6.783224782503640427e+01
2.419999999999992379e+00,-6.783211495757015541e+01
2.439999999999991953e+00,-6.783198524453185030e+01
2.459999999999991527e+00,-6.783185861842190434e+01
2.479999999999991100e+00,-6.783173501363886260e+01
2.499999999999990674e+00,-6.783161436641167086e+01
2.519999999999990248e+00,-6.783149661473484571e+01
2.539999999999989821e+00,-6.783138169830638731e+01
2.559999999999989395e+00,-6.783126955846833539e+01
2.579999999999988969e+00,-6.783116013814984058e+01
2.599999999999988542e+00,-6.783105338181258048e+01
2.619999999999988116e+00,-6.783094923539849219e+01
2.639999999999987690e+00,-6.783084764627963636e+01
2.659999999999987264e+00,-6.783074856321009349e+01
2.679999999999986837e+00,-6.783065193627990652e+01
2.699999999999986411e+00,-6.783055771687079982e+01
2.719999999999985985e+00,-6.783046585761366032e+01
2.739999999999985558e+00,-6.783037631234763865e+01
2.759999999999985132e+00,-6.783028903608095561e+01
2.779999999999984706e+00,-6.783020398495314396e+01
2.799999999999984279e+00,-6.783012111619895279e+01
2.819999999999983853e+00,-6.783004038811364467e+01
2.839999999999983427e+00,-6.782996176001968536e+01
2.859999999999983000e+00,-6.782988519223464152e+01
2.879999999999982574e+00,-6.782981064604041421e+01
2.899999999999982148e+00,-6.782973808365353818e+01
2.919999999999981721e+00,-6.782966746819649018e+01
2.939999999999981295e+00,-6.782959876366986407e+01
2.959999999999980869e+00,-6.782953193492556920e+01
2.979999999999980442e+00,-6.782946694764130768e+01
2.999999999999980016e+00,-6.782940376829607487e+01
3.019999999999979590e+00,-6.782934236414669726e+01
3.039999999999979163e+00,-6.782928270320512354e+01
3.059999999999978737e+00,-6.782922475421659669e+01
3.079999999999978311e+00,-6.782916848663846565e+01
3.099999999999977884e+00,-6.782911387061969322e+01
3.119999999999977458e+00,-6.782906087698113140e+01
3.139999999999977032e+00,-6.782900947719636520e+01
3.159999999999976605e+00,-6.782895964337328110e+01
3.179999999999976179e+00,-6.782891134823623247e+01
3.199999999999975753e+00,-6.782886456510881601e+01
3.219999999999975326e+00,-6.782881926789727345e+01
3.239999999999974900e+00,-6.782877543107437646e+01
3.259999999999974474e+00,-6.782873302966395102e+01
3.279999999999974047e+00,-6.782869203922584234e+01
3.299999999999973621e+00,-6.782865243584143400e+01
3.319999999999973195e+00,-6.782861419609957920e+01
3.339999999999972768e+00,-6.782857729708297256e+01
3.359999999999972342e+00,-6.782854171635501928e+01
3.379999999999971916e+00,-6.782850743194703114e+01
3.399999999999971489e+00,-6.782847442234586310e+01
3.419999999999971063e+00,-6.782844266648201881e+01
3.439999999999970637e+00,-6.782841214371806871e+01
3.459999999999970210e+00,-6.782838283383757982e+01
3.479999999999969784e+00,-6.782835471703427288e+01
3.499999999999969358e+00,-6.782832777390163415e+01
3.519999999999968932e+00,-6.782830198542276889e+01
3.539999999999968505e+00,-6.782827733296061012e+01
3.559999999999968079e+00,-6.782825379824839729e+01
3.579999999999967653e+00,-6.782823136338045344e+01
3.599999999999967226e+00,-6.782821001080328926e+01
3.619999999999966800e+00,-6.782818972330687757e+01
3.639999999999966374e+00,-6.782817048401622628e+01
3.659999999999965947e+00,-6.782815227638320721e+01
3.679999999999965521e+00,-6.782813508417858372e+01
3.699999999999965095e+00,-6.782811889148435114e+01
3.719999999999964668e+00,-6.782810368268626178e+01
3.739999999999964242e+00,-6.782808944246663430e+01
3.759999999999963816e+00,-6.782807615579734772e+01
3.779999999999963389e+00,-6.782806380793297762e+01
3.799999999999962963e+00,-6.782805238440423068e+01
3.819999999999962537e+00,-6.782804187101143611e+01
3.839999999999962110e+00,-6.782803225381830714e+01
3.859999999999961684e+00,-6.782802351914584449e+01
3.879999999999961258e+00,-6.782801565356641049e+01
3.899999999999960831e+00,-6.782800864389791684e+01
3.919999999999960405e+00,-6.782800247719822551e+01
3.939999999999959979e+00,-6.782799714075969177e+01
3.959999999999959552e+00,-6.782799262210382096e+01
3.979999999999959126e+00,-6.782798890897613830e+01
3.999999999999958700e+00,-6.782798598934112988e+01
4.019999999999958717e+00,-6.782798385137736830e+01
4.039999999999958291e+00,-6.782798248347276626e+01
4.059999999999957865e+00,-6.782798187421997227e+01
4.079999999999957438e+00,-6.782798201241179470e+01
4.099999999999957012e+00,-6.782798288703688172e+01
4.119999999999956586e+00,-6.782798448727541540e+01
4.139999999999956160e+00,-6.782798680249497636e+01
4.159999999999955733e+00,-6.782798982224646522e+01
4.179999999999955307e+00,-6.782799353626015204e+01
4.199999999999954881e+00,-6.782799793444181091e+01
4.219999999999954454e+00,-6.782800300686901096e+01
4.239999999999954028e+00,-6.782800874378739309e+01
4.259999999999953602e+00,-6.782801513560717410e+01
4.279999999999953175e+00,-6.782802217289963664e+01
4.299999999999952749e+00,-6.782802984639377541e+01
4.319999999999952323e+00,-6.782803814697300027e+01
4.339999999999951896e+00,-6.782804706567193875e+01
4.359999999999951470e+00,-6.782805659367330975e+01
4.379999999999951044e+00,-6.782806672230485390e+01
4.399999999999950617e+00,-6.782807744303640618e+01
4.419999999999950191e+00,-6.782808874747694006e+01
4.439999999999949765e+00,-6.782810062737176793e+01
4.459999999999949338e+00,-6.782811307459974159e+01
4.479999999999948912e+00,-6.782812608117058062e+01
4.499999999999948486e+00,-6.782813963922221490e+01
4.519999999999948059e+00,-6.782815374101809880e+01
4.539999999999947633e+00,-6.782816837894419848e+01
4.559999999999947207e+00,-6.782818354550626339e+01
4.579999999999946780e+00,-6.782819923332742462e+01
4.599999999999946354e+00,-6.782821543514612017e+01
4.619999999999945928e+00,-6.782823214381416221e+01
4.639999999999945501e+00,-6.782824935229481866e+01
4.659999999999945075e+00,-6.782826705366088049e+01
4.679999999999944649e+00,-6.782828524109267221e+01
4.699999999999944222e+00,-6.782830390787609076e+01
4.719999999999943796e+00,-6.782832304740060181e+01
4.739999999999943370e+00,-6.782834265315715072e+01
4.759999999999942943e+00,-6.782836271873615885e+01
4.779999999999942517e+00,-6.782838323782560508e+01
4.799999999999942091e+00,-6.782840420420917837e+01
4.819999999999941664e+00,-6.782842561176451568e+01
4.839999999999941238e+00,-6.782844745446142554e+01
4.859999999999940812e+00,-6.782846972636023963e+01
4.879999999999940385e+00,-6.782849242161013592e+01
4.899999999999939959e+00,-6.782851553444747594e+01
4.919999999999939533e+00,-6.782853905919425586e+01
4.939999999999939106e+00,-6.782856299025644375e+01
4.959999999999938680e+00,-6.782858732212248754e+01
4.979999999999938254e+00,-6.782861204936173749e+01
