spine_x,spine_y,spine_z,grid_x,grid_y,grid_z,dx,dy,dz,distance_um
2.410819969177246236e+01,9.457999229431152344e+00,1.314539723396301341e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,3.321117401123174773e-01,-8.889999389648437500e-01,4.705960273742704203e-01,1.059282644236358983e+00
2.386499977111816406e+01,9.457999229431152344e+00,1.296299719810485840e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,8.891181945801918118e-02,-8.889999389648437500e-01,2.881959915161154129e-01,9.387668148399730406e-01
2.362179985046386577e+01,9.457999229431152344e+00,1.278059716224670339e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,-1.542881011962791149e-01,-8.889999389648437500e-01,1.057959556579604055e-01,9.084704144240638435e-01
2.337859992980957102e+01,9.457999229431152344e+00,1.259819712638855016e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,-3.974880218505738583e-01,-8.889999389648437500e-01,-7.660408020019282560e-02,9.768243465933349468e-01
2.278509998321533203e+01,9.516999244689941406e+00,1.253649711608886719e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,-9.909879684448128501e-01,-8.299999237060546875e-01,-1.383040904998757981e-01,1.300032710512867062e+00
2.184130001068115234e+01,9.634999275207519531e+00,1.259549713134765625e+01,2.177608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,6.521205902100746243e-02,-7.119998931884765625e-01,-7.930407524108673556e-02,7.193647175751708422e-01
2.089750003814697266e+01,9.752999305725097656e+00,1.265449714660644531e+01,2.177608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,-8.785879135131722251e-01,-5.939998626708984375e-01,-2.030405998229767306e-02,1.060737862752263672e+00
1.995370006561279297e+01,9.870999336242675781e+00,1.271349716186523438e+01,1.977608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,1.776121139526480874e-01,-4.759998321533203125e-01,3.869595527649138944e-02,5.095284881019683798e-01
1.900990009307861328e+01,9.988999366760253906e+00,1.277249717712402344e+01,1.977608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,-7.661878585815316001e-01,-3.579998016357421875e-01,9.769597053528045194e-02,8.513237899106392836e-01
1.806610012054443359e+01,1.010699939727783203e+01,1.283149719238281250e+01,1.777608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,2.900121688842887124e-01,-2.399997711181640625e-01,1.566959857940695144e-01,4.077506348268700731e-01
1.712230014801025391e+01,1.022499942779541016e+01,1.289049720764160156e+01,1.777608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,-6.537878036498909751e-01,-1.219997406005859375e-01,2.156960010528585769e-01,6.991760820981746116e-01
1.617850017547607422e+01,1.034299945831298828e+01,1.294949722290039062e+01,1.577608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,4.024122238159293374e-01,-3.999710083007812500e-03,2.746960163116476394e-01,4.872468542071038411e-01
1.523470020294189275e+01,1.046099948883056641e+01,1.300849723815917969e+01,1.577608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,-5.413877487182521264e-01,1.140003204345703125e-01,3.336960315704367019e-01,6.461035590424030195e-01
1.429090023040771129e+01,1.057899951934814453e+01,1.306749725341796875e+01,1.377608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,5.148122787475664097e-01,2.320003509521484375e-01,3.926960468292257644e-01,6.877979575329397077e-01
2.330234994888305522e+01,9.503349208831787465e+00,1.232549710273742605e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,-4.737380027770896618e-01,-8.436499595642086291e-01,-3.493041038513169383e-01,1.028681829583515173e+00
2.339304990768432546e+01,9.594049167633055930e+00,1.196249709129333461e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,-3.830380439758194200e-01,-7.529500007629401637e-01,-7.123041152954083799e-01,1.105001809703725302e+00
